1,0.04482972
2,0.05664188
3,0.07332419
4,0.09715085
5,0.12957518
6,0.16527993
7,0.23650808
8,0.33054492
9,0.44086701
10,0.54600769
11,0.60794920
12,0.65944018
13,0.66373676
14,0.66002558
15,0.64592483
16,0.62931222
17,0.61930774
18,0.62899995
19,0.64532905
20,0.67277373
21,0.69117012
22,0.71627814
23,0.73461623
24,0.75402463
25,0.78645216
26,0.80292245
27,0.85172656
28,0.88640954
29,0.90826824
30,0.93794380
31,0.95600623
32,0.98004660
33,1.00042778
34,1.01404420
35,1.02898542
36,1.04828478
37,1.04468325
38,1.04789506
39,1.05917426
40,1.06326771
41,1.07397866
42,1.07722638
43,1.08863204
44,1.08836368
45,1.07419113
46,1.06920291
47,1.03520611
48,1.00633335
49,0.95734491
50,0.90178903
51,0.81156569
52,0.72379267
53,0.65300319
54,0.58963841
55,0.53697747
56,0.49125580
57,0.46172504
58,0.43190073
59,0.40790400
60,0.37436329
61,0.33639401
62,0.31531920
63,0.27691791
64,0.25106242
65,0.22396539
66,0.19580366
67,0.18119843
68,0.16168910
69,0.14970129
70,0.13804397
71,0.13183756
72,0.12925422
73,0.12929066
74,0.13341490
75,0.14146882
76,0.15062682
77,0.15733397
78,0.16138034
79,0.15952532
80,0.15124424
81,0.13828994
82,0.12625612
83,0.10361701
84,0.08462299
85,0.06722280
86,0.05266213
87,0.04261197
88,0.03174262
89,0.02311101
90,0.01859857
91,0.01392075
92,0.01143784
93,0.00842803
94,0.00660396
95,0.00495523
96,0.00385169
97,0.00265826
98,0.00206286
99,0.00097785
100,0.00051646
