1,0.05496224
2,0.06115635
3,0.06835159
4,0.07775866
5,0.08890190
6,0.09638109
7,0.11031928
8,0.12467275
9,0.14079193
10,0.15870487
11,0.17228336
12,0.19507976
13,0.21920870
14,0.24331656
15,0.27123487
16,0.29733602
17,0.33195889
18,0.37476788
19,0.41226712
20,0.45555985
21,0.49691518
22,0.54997475
23,0.61272583
24,0.66315376
25,0.72585103
26,0.77473032
27,0.84528970
28,0.90849320
29,0.94566904
30,0.99744134
31,1.03104847
32,1.06705246
33,1.09020601
34,1.09085237
35,1.10146497
36,1.09251427
37,1.08461145
38,1.07476527
39,1.05800778
40,1.04041614
41,1.01856292
42,1.00092370
43,0.98086065
44,0.97044717
45,0.95579050
46,0.94490443
47,0.93573790
48,0.93052227
49,0.92745865
50,0.91497464
51,0.90654345
52,0.89383646
53,0.87123576
54,0.85442446
55,0.82172468
56,0.78520459
57,0.75463173
58,0.71187151
59,0.67687269
60,0.62824879
61,0.58274569
62,0.55102008
63,0.50217149
64,0.46776706
65,0.42531976
66,0.38807566
67,0.36258530
68,0.32374971
69,0.29605796
70,0.26362675
71,0.23179641
72,0.21478701
73,0.18503195
74,0.16344443
75,0.14084454
76,0.12133180
77,0.11055447
78,0.09236122
79,0.08078468
80,0.06906504
81,0.05892966
82,0.05160544
83,0.04352040
84,0.03733375
85,0.03093796
86,0.02639909
87,0.02300268
88,0.01905549
89,0.01508831
90,0.01295071
91,0.01069334
92,0.01011868
93,0.00723563
94,0.00634613
95,0.00487983
96,0.00428168
97,0.00296734
98,0.00186007
99,0.00120797
100,0.00066013
