1,-0.00694948
2,0.00176512
3,0.00546692
4,0.01254050
5,0.01273098
6,0.01630797
7,0.02543008
8,0.03444729
9,0.03894177
10,0.04423479
11,0.05489913
12,0.06019748
13,0.06807053
14,0.06839979
15,0.07837427
16,0.08723018
17,0.10433123
18,0.12266914
19,0.15220664
20,0.19810411
21,0.24741727
22,0.30934975
23,0.37883289
24,0.43642994
25,0.46181173
26,0.46345676
27,0.45749434
28,0.44387259
29,0.43841114
30,0.42712345
31,0.41879394
32,0.42259104
33,0.41415333
34,0.40833199
35,0.41544052
36,0.42322350
37,0.43747263
38,0.45149563
39,0.46635998
40,0.48694076
41,0.52789885
42,0.60200682
43,0.72274504
44,0.83922288
45,0.98312016
46,1.16373308
47,1.23709752
48,1.25765385
49,1.25660291
50,1.16795963
51,1.04458711
52,0.90989456
53,0.82159617
54,0.73551119
55,0.62630608
56,0.56396253
57,0.51350879
58,0.47849742
59,0.46751870
60,0.46020494
61,0.46190143
62,0.46649833
63,0.47603516
64,0.51573741
65,0.52424124
66,0.54230270
67,0.54497692
68,0.53719167
69,0.52615529
70,0.50328379
71,0.46886208
72,0.45604978
73,0.40936678
74,0.37938337
75,0.34641858
76,0.31994430
77,0.30815913
78,0.28798913
79,0.26776353
80,0.25660040
81,0.24707919
82,0.23796659
83,0.22934434
84,0.22295573
85,0.21648072
86,0.20659678
87,0.19592626
88,0.19822719
89,0.18695458
90,0.18388359
91,0.17704050
92,0.17341448
93,0.16374715
94,0.15268635
95,0.15574703
96,0.14769369
97,0.14421881
98,0.13831847
99,0.13554308
100,0.13066596
